"","curs","Any","codi_centre","nom_complet","codi_naturalesa","nom_naturalesa","codi_titularitat","nom_titularitat","codi_delegacio","nom_delegacio","codi_comarca","nom_comarca","codi_municipi","codi_municipi_6","nom_municipi","codi_districte_minicial","nom_dm","UTM_X","UTM_Y","nom_ensenyament","nivell","nom_grups","mixt","nombre_places","places_ofertades","assignacions","assig_1a","assig_altres","georeferencia","edat","num_dona","num_home","num_total","lng","lat","% ocupades","% infants del municipi"
"18","2020/2021","2020","8013184","Institut Bernat Metge","1","Public","1","Departament d'Ensenyament","108","Consorci d'Educacio de Barcelona","13","Barcelones","08019","80193","Barcelona","10","Sant Marti","430835.544","4581287.255","Educacio secundaria obligatoria","1","3","FALSE",90,76,31,69,38,"(41.38013646, 2.17284074)",12,6615,7082,13697,"2.201818598","41.423002838",34.4,100
"19","2020/2021","2020","8004912","Montserrat","2","Privat","24","Ordes i Congregacions Catolics","108","Consorci d'Educacio de Barcelona","13","Barcelones","08019","80193","Barcelona","5","Sarria - Sant Gervasi","425695.113","4584541.554","Educacio secundaria obligatoria","1","2","FALSE",60,6,6,6,0,"(41.40898813, 2.110972274)",12,6615,7082,13697,"2.110972274","41.408988127",10,100
"20","2020/2021","2020","8018352","Casal dels Angels","2","Privat","23","Esglesia Catolica","208","Barcelona Comarques","13","Barcelones","08101","81017","L'Hospitalet de Llobregat","3","Santa Eulalia","424851.582","4580115.611","Educacio secundaria obligatoria","1","2","FALSE",60,0,0,0,0,"(41.36904737, 2.101430026)",12,1232,1276,2508,"2.127605424","41.365515509",0,100
"21","2020/2021","2020","8016793","Institut Francesc Macia","1","Public","1","Departament d'Ensenyament","308","Baix Llobregat","11","Baix Llobregat","08073","80734","Cornella de Llobregat","0","0","405921.25","4599249.77","Educacio secundaria obligatoria","1","5","FALSE",150,141,139,141,2,"(41.53937561, 1.872131282)",12,459,494,953,"2.070799015","41.357229065",92.7,100
"22","2020/2021","2020","8024731","La Vall","2","Privat","26","Societats Mercantils","408","Valles Occidental","40","Valles Occident","08187","81878","Sabadell","6","Sabadell 6","423558.169","4602197.855","Educacio secundaria obligatoria","1","4","FALSE",120,19,25,25,0,"(41.56780603, 2.0831684)",12,1235,1261,2496,"2.090233454","41.507229155",20.8,100
"23","2020/2021","2020","8022392","Daina Isard","2","Privat","21","Cooperatives","308","Baix Llobregat","11","Baix Llobregat","08147","81477","Olesa de Montserrat","0","0","422041.516","4642744.13","Educacio secundaria obligatoria","1","2","FALSE",60,2,6,6,0,"(41.93281332, 2.059665858)",12,156,142,298,"1.900523486","41.545534884",10,100
"24","2020/2021","2020","8025137","Turbula","2","Privat","26","Societats Mercantils","208","Barcelona Comarques","13","Barcelones","08194","81944","Sant Adria de Besos","0","0","413896.863","4588842.637","Educacio secundaria obligatoria","1","2","FALSE",60,1,1,1,0,"(41.44654694, 1.969218881)",12,236,202,438,"2.211838859","41.423787868",1.7,100
"25","2020/2021","2020","8014449","Mare de Deu del Roser Les Planes","2","Privat","22","Fundacions","108","Consorci d'Educacio de Barcelona","13","Barcelones","08019","80193","Barcelona","5","Sarria - Sant Gervasi","411417.046","4576025.663","Educacio secundaria obligatoria","1","1","FALSE",30,25,0,0,0,"(41.33084636, 1.941410863)",12,6615,7082,13697,"2.092577149","41.426804599",0,100
"26","2020/2021","2020","8009016","Roig Tesalia","2","Privat","41","Persones Fisiques","108","Consorci d'Educacio de Barcelona","13","Barcelones","08019","80193","Barcelona","7","Horta - Guinardo","431781.879","4583445.052","Educacio secundaria obligatoria","1","1","FALSE",30,5,1,4,3,"(41.39965191, 2.183914126)",12,6615,7082,13697,"2.169580271","41.408060003",3.3,100
"27","2020/2021","2020","8020620","Institut Pompeu Fabra","1","Public","1","Departament d'Ensenyament","308","Baix Llobregat","11","Baix Llobregat","08114","81141","Martorell","0","0","443179.919","4592363.349","Educacio secundaria obligatoria","1","5","FALSE",150,140,138,140,2,"(41.48086448, 2.319418743)",12,186,176,362,"1.921517967","41.474238113",92,100
